student_name,course_name,Score
Buster Runte,Markets,80.28036004547964
Mrs. Kellie Kulas,Intranet,67.31564483096507
Julian Flatley,Implementation,75.49094731305671
Bessie Kihn,Functionality,61.48292467975354
Danika Friesen,Paradigm,81.8589045643792
Clementine Wiegand,Tactics,72.37766430617144
Percival Braun,Applications,70.64289167615263
Miss Meggie Hessel,Intranet,74.67125514847565
Joann Conroy,Data,75.40307699330248
Denise Jacobs,Intranet,83.9493006156556
Garnett Bode,Marketing,80.91090531325221
Mr. Lea Gislason,Research,73.43590721207197
Kara Tillman,Directives,82.63668149718995
Pam Volkman,Communications,79.00737253691614
Matthew Braun,Communications,70.73400363713964
Dwayne Sanford,Marketing,73.75281841763514
Samson Prosacco,Quality,73.51777111156879
Lonnie Kuphal,Optimization,80.05261343174202
Christina Bartoletti,Identity,71.32977385278359
Quentin Barrows,Data,71.09590813578367
Tamara Marks,Mobility,94.68757309433958
Julien Marks,Directives,84.39735481747104
Tanner White V,Factors,67.3939933557486
Leann Nienow,Program,80.70940993942199
Jordy Weimann,Program,76.18350065655177
Elias Walker,Paradigm,78.91551175260093
Stanley Abernathy,Program,76.37341324565105
Raquel Schmeler,Usability,86.89642645485236
Mrs. Brock Mayer,Operations,78.45620344651446
Joanny Keeling-Balistreri,Usability,74.37911301785712
Norene Kuhn,Accounts,85.42190576983018
Miss Nigel Cronin,Metrics,77.33285041087872
Patricia Stroman,Configuration,76.21478579329057
Dr. Ana Wisozk,Identity,78.14022602486115
Elizabeth Botsford,Usability,74.06390976633634
Andrea Larson,Intranet,75.09226992995468
Irving Buckridge,Marketing,69.13305411238127
Susie Weimann,Optimization,67.48832780376121
Ronald Roob,Solutions,65.0142961351756
Marlene Ritchie,Accountability,61.08016713202924
Adrien Bartoletti,Implementation,66.20282638615444
Tina Deckow,Division,73.25732965533075
Cory Macejkovic V,Assurance,76.03117582445637
Fernando Kautzer,Creative,72.28703436852359
Dr. Andreane Swift,Applications,51.44296509872642
Ben Leannon,Integration,90.74586357762342
Curtis Rippin,Markets,85.86480122890381
Mr. Clint Ratke,Group,79.45759851217129
Haley Cremin,Web,94.07490672553268
Angela Schroeder,Intranet,65.22635882516289
Anne Walter,Assurance,93.87625120626005
Abbie Stiedemann,Metrics,65.34785923249453
Josh Borer,Brand,77.38737925291356
Laurel Haley,Accountability,62.26162674865796
Rodolfo Moen,Tactics,75.14694095544367
Darin Schmidt,Infrastructure,78.86166497998389
Tabitha Jacobs,Branding,73.45309668865445
Ladarius Zboncak,Optimization,82.13877444090137
Adele Jacobs,Group,75.99014449487257
Mertie Schmidt,Communications,69.7758527162249
Ms. Maiya Larson,Group,69.3318668219766
Bettie Lakin,Solutions,83.10913772615696
Ruben Terry,Factors,68.46257970193032
Mr. Madisyn Champlin,Paradigm,84.15402970484936
Garth Johnston,Infrastructure,87.2271179283193
Josefina Lindgren,Quality,58.3128613765387
Kathy Bogisich III,Paradigm,86.32926387301035
Dr. Tyler Hegmann,Configuration,95.604226984447
Blanche Kreiger,Configuration,77.52003761201928
Carole Haag,Factors,80.99084185294822
Mr. Eric Rippin,Response,85.37005324369159
Giles Klocko,Security,72.24517684820978
Dennis Ruecker,Identity,76.8228022353787
Raquel Green,Web,61.85800470376891
Wendell Hickle,Creative,76.38635028530452
Summer Kerluke,Program,79.98111995644541
Mrs. Arlene Kozey,Configuration,80.16163022926469
Cheyenne Johns,Accounts,85.6542472359758
Diane Hintz,Markets,67.25197821864471
Darwin Labadie,Applications,69.67393243326504
Gilbert Purdy DVM,Assurance,93.95507345991355
Bridget Kassulke,Configuration,73.4967162623629
Miss Darlene Vandervort-Funk,Data,77.00033787312329
Mr. Sidney Ledner,Configuration,74.32989958274779
Pink Jacobson,Directives,66.78319173694977
Millie Stanton,Data,91.23529210891806
Alonzo Nolan,Usability,69.72298588079394
Joanne Altenwerth,Branding,63.7271447629307
Randal Hackett,Web,70.49259722697248
Arlie Waters,Markets,54.98293998274467
Mina King,Branding,68.48712535016818
Miss Rosemarie Borer,Data,65.31871402147674
Henri Rolfson,Research,81.17428630927324
Geraldine Brakus,Operations,68.26585760440128
Rebekah Smitham,Program,83.87803935578849
Estelle Beatty,Implementation,88.98483993069321
Wilhelm Glover IV,Intranet,82.81175336287599
Justus Kuphal,Accountability,72.84611711139924
Tommy Mayert-Berge Sr.,Web,76.41114496705593
Cathryn Klein MD,Accountability,59.7501505985594
Mrs. Clara Sanford,Solutions,73.66220627478761
Isaac Mraz,Assurance,66.39561531933167
Bridgette Torphy,Web,81.94326381149298
Levi Von,Division,100.7275238924447
Corine Daniel,Interactions,79.9982163597381
Sergio Jerde,Functionality,55.08859851045334
Javier Terry,Mobility,71.38769807085627
Mr. Derek Lindgren,Interactions,76.22490925374454
Alice Schmitt,Research,75.87357425260264
Noemy Hyatt,Usability,67.69186874391247
,,1.049391803279495
,,0.2234678842685733
,,1.715129976480222
,,5.648491709995744
,,7.033409545189324
,,2.0247856414138
,,6.682594372081745
,,1.824763310992293
,,6.134574266312571
,,4.119596798957988
,,6.537995093336168
,,9.950527524792474
,,9.378169652325619
,,0.04281757836103628
,,8.854387643623058
,,0.6649079517476653
,,9.530465861598449
,,2.818256790996847
,,3.820348304112709
,,0.9163820517572785
,,1.122727583289096
,,7.267405652293196
,,9.443322357482916
,,6.107484949543095
,,7.15850015526811
,,144.0492436149288
,,131.5703568638235
,,126.1307407730054
,,125.0468185979792
,,133.7662320738505
,,131.0366057049804
,,126.5579431262296
,,129.4882073123417
,,128.1124724566987
,,147.8719595154343
,,128.5066803364792
,,138.441211599692
,,139.8276488778041
,,138.5872364427158
,,127.4764108553997
,,132.9699590437638
,,126.2817583115788
,,134.8917478524079
,,129.7149732817898
,,139.0408133321095
,,142.3202098462275
,,138.3029965051177
,,135.8559174152849
,,134.6833355214173
,,146.0422942024251
